id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max
0,,,,,,Sol,0,0,0,0,0,0,-26.7,4.85,G2V,0.656,0.000005,0,0,0,0,0,0,0,0,0,,,,1,0,,1,,,
1,1,224700,,,,,0.00006,1.089009,219.7802,-5.2,-1.88,0,9.1,2.39,F5,0.482,219.740502,0.003449,4.177065,0.00000004,-0.00000554,-0.000002,1.56934E-05,0.019006788,-2.52103E-08,-9.1145E-09,,,Psc,1,1,,9.638290236,,,
2,2,224690,,,,,0.000283,-19.49884,47.9616,181.21,-0.93,0,9.27,5.866,K3V,0.999,45.210918,0.003365,-16.008996,-0.00000007,0.00004213,-0.0000002,7.39611E-05,-0.340318952,8.78531E-07,-4.50877E-09,,,Cet,1,2,,0.392283463,,,
3,3,224699,,,,,0.000335,38.859279,442.4779,5.24,-2.91,0,6.61,-1.619,B9,-0.019,344.552785,0.030213,277.614965,0.00000392,0.00001124,-0.00000486,8.76263E-05,0.678222363,2.54042E-08,-1.41081E-08,,,And,1,3,,386.9011317,,,
4,4,224707,,,,,0.000569,-51.893546,134.2282,62.85,0.16,0,8.06,2.421,F0V,0.37,82.835513,0.012476,-105.61954,0.00000008,0.0000409,0.00000006,0.000148954,-0.905713232,3.04705E-07,7.75701E-10,,,Phe,1,4,,9.36698878,,,
5,5,224705,,,,,0.000665,-40.591202,257.732,2.53,9.07,0,8.55,1.494,G8III,0.902,195.714261,0.034068,-167.695291,0.00000737,0.00000316,0.00000861,0.000174033,-0.708450127,1.22658E-08,4.39726E-08,,,Phe,1,5,,21.99885109,,,
6,6,,,,,,0.001246,3.946458,55.0358,226.29,-12.84,0,12.31,8.607,M0V:,1.336,54.905296,0.017912,3.787796,0.00000022,0.00006037,-0.00000342,0.000326224,0.06887868,1.09708E-06,-6.22501E-08,,,,1,6,,0.031419553,,12.462,12.162
7,7,,,,,,0.00147,20.036114,57.8704,-208.12,-200.79,0,9.64,5.828,G0,0.74,54.367897,0.020886,19.827115,0.00001932,-0.00005838,-0.00005292,0.000384723,0.34969616,-1.00899E-06,-9.73457E-07,,,Peg,1,7,,0.406256198,,,
8,8,224709,,,,,0.001823,25.886461,200.8032,19.09,-5.66,-31,9.05,2.536,M6e-M8.5e Tc,1.102,180.654532,0.086213,87.668389,-0.00002613,0.00001857,-0.0000188,0.000477138,0.45180397,9.25509E-08,-2.74405E-08,,,Peg,1,8,,8.425583753,Z,11.748,7.648
9,9,224708,,,,,0.002355,36.585958,420.1681,-6.3,8.42,0,8.59,0.473,G5,1.067,337.379614,0.207994,250.431996,-0.00001021,-0.00001284,0.00001377,0.000616563,0.63854543,-3.05433E-08,4.08213E-08,,,And,1,9,,56.33781509,,,
