hr,proper,dist,mag,absmag,spect,ci,rarad,decrad,con
9077,N/A,81.3670,6.280,1.728,G3IV,"rgb(255, 215, 218)",0.0013876607010597569,-0.7730161236388425,Phe
9078,N/A,74.6269,6.430,2.066,F7.5IV-V,"rgb(255, 223, 242)",0.0017378621745154513,0.4698096167386025,Peg
9079,N/A,136.2398,6.180,0.508,G9III-IV,"rgb(255, 207, 194)",0.0022496078515178816,1.0395125049217948,Cas
9080,N/A,187.9699,6.360,-0.010,B9p SiEu,"rgb(200, 194, 0)",0.003172863280404705,0.7898196673326625,And
9081,N/A,181.8182,5.710,-0.588,G8III,"rgb(255, 211, 204)",0.004696959812148889,-0.8518930353430763,Phe
9083,N/A,199.6008,6.220,-0.281,G7II-III,"rgb(255, 209, 199)",0.005763021777708776,0.8723427473068125,Cas
9082,N/A,166.3894,5.530,-0.576,M2III,"rgb(255, 0, 150)",0.005826258371586336,-0.87855289975953,Phe
9084,N/A,66.5779,4.780,0.663,K2III,"rgb(255, 200, 177)",0.0069680833539428125,-1.3450506304308112,Oct
9085,N/A,943.3962,5.580,-4.293,F0III,"rgb(255, 226, 254)",0.007055293220648263,1.0685394491555988,Cas
9086,N/A,374.5318,6.250,-1.617,B9IIIp Mn,"rgb(201, 195, 0)",0.007552068772316919,0.7394461549144825,And
9087,N/A,139.2758,5.130,-0.589,B7III-IV,"rgb(186, 184, 0)",0.007959311760624218,-0.052839908817267495,Psc
9089,N/A,132.4503,4.370,-1.240,M3III,"rgb(255, 0, 147)",0.008553478676206407,-0.104965358843855,Psc
9088,N/A,12.1699,5.800,5.374,G3V,"rgb(255, 218, 225)",0.00946108171981008,0.47267453579784746,Peg
9091,N/A,154.0832,5.040,-0.899,B4V,"rgb(183, 181, 0)",0.01017525278876349,-0.5187190791032438,Scl
9092,N/A,122.8501,6.330,0.883,A6V,"rgb(231, 213, 0)",0.010484117093558568,0.15632606164888252,Psc
9093,N/A,36.9004,5.700,2.865,F0V,"rgb(245, 221, 0)",0.010886699497016102,0.1480992689931425,Psc
9094,N/A,100000.0000,5.870,-14.130,G8III,"rgb(255, 206, 191)",0.0113507568383742,1.1536445903601564,Cas
9095,N/A,61.1621,6.250,2.318,F6/F7V,"rgb(255, 223, 241)",0.01290702523975974,-0.3498666438465,Cet
9096,N/A,203.6660,6.460,-0.085,K1III,"rgb(255, 203, 183)",0.013660980425408925,-0.4214122862025538,Cet
9097,N/A,763.3588,6.240,-3.174,B3Ia,"rgb(247, 222, 0)",0.014960020282685652,1.1107366073692124,Cas
9098,N/A,83.4725,4.550,-0.058,B9IVn,"rgb(200, 194, 0)",0.01631802797359968,-0.30257006382630625,Cet
9099,N/A,265.9574,6.310,-0.814,M4,"rgb(255, 0, 147)",0.016844749430608805,1.1643472412672524,Cep
9100,N/A,100000.0000,5.900,-14.100,A1III,"rgb(241, 219, 0)",0.018446903003014922,1.0871248133041624,Cas
9101,N/A,90.6618,5.780,0.993,K0III,"rgb(255, 206, 190)",0.018892655987765305,-0.2884861027255437,Cet
9102,N/A,124.8439,6.380,0.898,A1V,"rgb(212, 202, 0)",0.018930632577893968,-0.5108373060710875,Scl
9103,N/A,641.0256,4.990,-4.044,K3Ibvar,"rgb(255, 0, 149)",0.019643574686431155,-0.18342578396381876,Cet
9106,N/A,93.8086,7.330,2.469,F2V,"rgb(255, 225, 250)",0.01967372678373862,-1.2722982597838275,Tuc
9105,N/A,386.1004,6.110,-1.824,B9III,"rgb(228, 211, 0)",0.020114128490907237,0.7346532469781663,And
9108,N/A,175.4386,5.590,-0.631,B8III,"rgb(190, 187, 0)",0.020454582635911458,-1.246808961776701,Tuc
9104,N/A,92.6784,5.680,0.845,K1III,"rgb(255, 207, 193)",0.02049985461801391,1.1722756186244814,Cep
9107,N/A,39.1850,6.090,3.124,G2V,"rgb(255, 220, 230)",0.02135579856686206,0.6049275719060863,And
9109,N/A,200.0000,6.250,-0.255,K4IIIb,"rgb(255, 197, 169)",0.021525194748852502,0.4651086770442225,Peg
2,N/A,138.8889,6.320,0.607,G9III:,"rgb(255, 205, 189)",0.0220946140148996,-0.0087796252613975,Psc
9110,N/A,221.7295,5.800,-0.929,B8MNp...,"rgb(196, 191, 0)",0.022263193198905826,1.0701306540234776,Cas
3,N/A,39.4945,4.610,1.627,K1III,"rgb(255, 207, 194)",0.023281305328276467,-0.09961672987464,Psc
4,N/A,114.2857,5.550,0.260,G5III,"rgb(255, 211, 205)",0.0248680747187823,0.2338089558380125,Peg
5,N/A,21.4777,5.980,4.320,G5V,"rgb(255, 218, 225)",0.027320425307301943,1.0199133908246714,Cas
6,N/A,25.7136,5.700,3.649,G1IV...,"rgb(255, 223, 242)",0.02756156509675433,-0.85652366430261,Phe
7,N/A,265.9574,5.570,-1.554,B9III,"rgb(204, 198, 0)",0.028109436485611372,1.1204345074242086,Cas
8,N/A,13.6705,6.070,5.391,K0V,"rgb(255, 216, 219)",0.028852628509606647,0.5065207576037262,And
9,N/A,39.3856,6.190,3.213,F2IV,"rgb(253, 226, 0)",0.02982195158247283,-0.4033026516141675,Cet
10,N/A,176.0563,6.200,-0.028,A2IV/V,"rgb(226, 210, 0)",0.03187167312370778,-0.30346021599123,Cet
11,N/A,183.4862,6.430,0.112,B8IIIsp...,"rgb(183, 181, 0)",0.033751257726455104,-0.044482847493292496,Psc
12,N/A,78.3699,5.930,1.459,A1V,"rgb(226, 210, 0)",0.03395367272591311,-0.39284847743974505,Cet
13,N/A,94.9668,5.670,0.782,K1III,"rgb(255, 204, 187)",0.03516055349382617,-0.5851971343732375,Scl
14,N/A,279.3296,6.180,-1.051,K2III,"rgb(255, 197, 169)",0.0357862385536786,-0.0427206115912275,Psc
16,N/A,98.4252,5.990,1.024,G8III:,"rgb(255, 207, 194)",0.03618160116454473,-0.15400980916409124,Cet
15,Alpheratz,29.7442,2.070,-0.297,B9p,"rgb(201, 195, 0)",0.03659716270801555,0.5077238184659449,And
18,N/A,578.0347,6.110,-2.700,M0/M1IIICNp,"rgb(255, 1, 139)",0.03734251392425997,-0.3067966822499775,Cet
17,N/A,32.4465,6.210,3.654,F8IV,"rgb(255, 223, 243)",0.03788488744027458,0.6392639273188562,And
19,N/A,138.5042,6.240,0.533,K0III,"rgb(255, 209, 199)",0.03869758068142325,0.444412921408955,Peg
22,N/A,87.4126,5.570,0.862,G9III,"rgb(255, 207, 193)",0.03944591941930006,0.31785871928999254,Peg
23,N/A,128.3697,6.320,0.778,G4IV...,"rgb(255, 216, 220)",0.03944260246460291,-0.9425115001307462,Phe
21,Caph,16.7842,2.280,1.155,F2III-IV,"rgb(252, 225, 0)",0.040025852830323276,1.0323584043676326,Cas
20,N/A,105.4852,6.010,0.894,A7IV,"rgb(233, 214, 0)",0.04071640485849065,1.3912812778774724,Cep
24,N/A,77.4593,5.420,0.975,F3V,"rgb(255, 226, 253)",0.04080165350626981,-0.4884814967877525,Scl
25,N/A,44.2087,3.880,0.652,K0III,"rgb(255, 208, 196)",0.04105967874921949,-0.7984432093302175,Phe
26,N/A,93.6330,5.540,0.683,B9V,"rgb(197, 192, 0)",0.043793360182188254,0.19453113557076,Psc
30,N/A,78.0640,5.290,0.828,K1/K2III,"rgb(255, 207, 193)",0.04379732015687193,-1.4350803419682037,Oct
29,N/A,58.3090,5.840,2.011,K1III,"rgb(255, 209, 199)",0.04500547089347276,-0.09160513463892,Psc
27,N/A,377.3585,5.010,-2.874,F2II,"rgb(255, 227, 254)",0.04503274031959869,0.8041128329084449,And
