hr,proper,ra,dec,dist,mag,absmag,spect,ci,con
9077,N/A,0.005300,-44.290561,81.3670,6.280,1.728,G3IV,"rgb(255, 182, 218)",Phe
9078,N/A,0.006638,26.918108,74.6269,6.430,2.066,F7.5IV-V,"rgb(255, 189, 242)",Peg
9079,N/A,0.008593,59.559679,136.2398,6.180,0.508,G9III-IV,"rgb(255, 175, 194)",Cas
9080,N/A,0.012119,45.253334,187.9699,6.360,-0.010,B9p SiEu,"rgb(200, 164, 0)",And
9081,N/A,0.017941,-48.809876,181.8182,5.710,-0.588,G8III,"rgb(255, 178, 204)",Phe
9083,N/A,0.022013,49.981558,199.6008,6.220,-0.281,G7II-III,"rgb(255, 177, 199)",Cas
9082,N/A,0.022255,-50.337373,166.3894,5.530,-0.576,M2III,"rgb(255, 0, 150)",Phe
9084,N/A,0.026616,-77.065724,66.5779,4.780,0.663,K2III,"rgb(255, 169, 177)",Oct
9085,N/A,0.026949,61.222801,943.3962,5.580,-4.293,F0III,"rgb(255, 192, 254)",Cas
9086,N/A,0.028847,42.367144,374.5318,6.250,-1.617,B9IIIp Mn,"rgb(201, 165, 0)",And
9087,N/A,0.030402,-3.027504,139.2758,5.130,-0.589,B7III-IV,"rgb(186, 155, 0)",Psc
9089,N/A,0.032672,-6.014072,132.4503,4.370,-1.240,M3III,"rgb(255, 0, 147)",Psc
9088,N/A,0.036139,27.082256,12.1699,5.800,5.374,G3V,"rgb(255, 184, 225)",Peg
9091,N/A,0.038867,-29.720414,154.0832,5.040,-0.899,B4V,"rgb(183, 153, 0)",Scl
9092,N/A,0.040046,8.956824,122.8501,6.330,0.883,A6V,"rgb(231, 180, 0)",Psc
9093,N/A,0.041584,8.485463,36.9004,5.700,2.865,F0V,"rgb(245, 187, 0)",Psc
9094,N/A,0.043357,66.098966,100000.0000,5.870,-14.130,G8III,"rgb(255, 174, 191)",Cas
9095,N/A,0.049301,-20.045882,61.1621,6.250,2.318,F6/F7V,"rgb(255, 188, 241)",Cet
9096,N/A,0.052181,-24.145145,203.6660,6.460,-0.085,K1III,"rgb(255, 171, 183)",Cet
9097,N/A,0.057143,63.640520,763.3588,6.240,-3.174,B3Ia,"rgb(247, 188, 0)",Cas
9098,N/A,0.062330,-17.335988,83.4725,4.550,-0.058,B9IVn,"rgb(200, 164, 0)",Cet
9099,N/A,0.064342,66.712183,265.9574,6.310,-0.814,M4,"rgb(255, 0, 147)",Cep
9100,N/A,0.070462,62.287664,100000.0000,5.900,-14.100,A1III,"rgb(241, 185, 0)",Cas
9101,N/A,0.072165,-16.529036,90.6618,5.780,0.993,K0III,"rgb(255, 174, 190)",Cet
